Customer_ID,Feedback,Sentiment
101,"Horrible experience, will never return!",Negative
102,Customer service was rude and unhelpful.,Negative
103,"The service was excellent, very satisfied!",Positive
104,Would definitely come back again!,Neutral
105,Would definitely come back again!,Neutral
106,"Didn't meet my expectations, sadly.",Negative
107,Great ambiance and well-maintained place.,Positive
108,The product quality is outstanding!,Positive
109,Food was cold and took too long to arrive.,Negative
110,Great ambiance and well-maintained place.,Positive
111,Great ambiance and well-maintained place.,Positive
112,Waited too long for assistance.,Neutral
113,They went above and beyond to help me!,Neutral
114,Customer service was rude and unhelpful.,Negative
115,Loved the friendly staff and quick service.,Positive
116,"The service was excellent, very satisfied!",Positive
117,Very disappointed with the experience.,Negative
118,"Fantastic place, great energy!",Positive
119,"It was okay, nothing special.",Positive
120,Customer service was rude and unhelpful.,Negative
121,The product quality is outstanding!,Positive
122,Customer service was rude and unhelpful.,Negative
123,Very disappointed with the experience.,Negative
124,Would definitely come back again!,Neutral
125,"The service was excellent, very satisfied!",Positive
126,The product quality is outstanding!,Positive
127,Would definitely come back again!,Neutral
128,Great ambiance and well-maintained place.,Positive
129,Customer service was rude and unhelpful.,Negative
130,Loved the friendly staff and quick service.,Positive
131,Customer service was rude and unhelpful.,Negative
132,"Superb quality, very happy with my purchase.",Positive
133,The product quality is outstanding!,Positive
134,The product quality is outstanding!,Positive
135,"The service was excellent, very satisfied!",Positive
136,Very disappointed with the experience.,Negative
137,"Fantastic place, great energy!",Positive
138,Food was cold and took too long to arrive.,Negative
139,Smooth and hassle-free process.,Positive
140,Not worth the money I spent.,Negative
141,The product quality is outstanding!,Positive
142,"Amazing experience, highly recommend!",Positive
143,Not worth the money I spent.,Negative
144,Would definitely come back again!,Neutral
145,They went above and beyond to help me!,Neutral
146,Would definitely come back again!,Neutral
147,Smooth and hassle-free process.,Positive
148,"Didn't meet my expectations, sadly.",Negative
149,"The service was excellent, very satisfied!",Positive
150,Not worth the money I spent.,Negative
151,Would definitely come back again!,Neutral
152,Not happy with the customer support.,Negative
153,Great ambiance and well-maintained place.,Positive
154,"Fantastic place, great energy!",Positive
155,They went above and beyond to help me!,Neutral
156,They went above and beyond to help me!,Neutral
157,Very disappointed with the experience.,Negative
158,"Fantastic place, great energy!",Positive
159,"Horrible experience, will never return!",Negative
160,"It was okay, nothing special.",Positive
161,Very disappointed with the experience.,Negative
162,"Amazing experience, highly recommend!",Positive
163,Very disappointed with the experience.,Negative
164,They went above and beyond to help me!,Neutral
165,They went above and beyond to help me!,Neutral
166,Smooth and hassle-free process.,Positive
167,Customer service was rude and unhelpful.,Negative
168,Loved the friendly staff and quick service.,Positive
169,Loved the friendly staff and quick service.,Positive
170,Customer service was rude and unhelpful.,Negative
171,"Didn't meet my expectations, sadly.",Negative
172,Loved the friendly staff and quick service.,Positive
173,"Didn't meet my expectations, sadly.",Negative
174,"Horrible experience, will never return!",Negative
175,Very disappointed with the experience.,Negative
176,"Amazing experience, highly recommend!",Positive
177,Not worth the money I spent.,Negative
178,"Delivery was super fast, very impressed.",Positive
179,"Superb quality, very happy with my purchase.",Positive
180,"Fantastic place, great energy!",Positive
181,They went above and beyond to help me!,Neutral
182,They went above and beyond to help me!,Neutral
183,The product quality is outstanding!,Positive
184,Great ambiance and well-maintained place.,Positive
185,Customer service was rude and unhelpful.,Negative
186,Food was cold and took too long to arrive.,Negative
187,The product quality is outstanding!,Positive
188,"Delivery was super fast, very impressed.",Positive
189,They went above and beyond to help me!,Neutral
190,"Delivery was super fast, very impressed.",Positive
191,Not worth the money I spent.,Negative
192,Loved the friendly staff and quick service.,Positive
193,Loved the friendly staff and quick service.,Positive
194,"The service was excellent, very satisfied!",Positive
195,"Didn't meet my expectations, sadly.",Negative
196,Loved the friendly staff and quick service.,Positive
197,Waited too long for assistance.,Neutral
198,Would definitely come back again!,Neutral
199,"Superb quality, very happy with my purchase.",Positive
200,Not worth the money I spent.,Negative
